receipt_date,cumulative_total
2023-10-31,490352.11
2023-10-31,490362.11
2023-10-31,490387.11
2023-10-31,490637.11
2023-10-31,490887.11
2023-10-31,491137.11
2023-10-31,491237.11
2023-10-31,493637.11
2023-10-31,494137.11
2023-10-31,494637.11
2023-10-31,495137.11
2023-10-31,495237.11
2023-10-31,496237.11
2023-10-31,496737.11
2023-10-31,497530.11
2023-10-31,497630.11
2023-10-31,497680.11
2023-10-31,497780.11
2023-11-01,498030.11
2023-11-01,498330.11
2023-11-01,498580.11
2023-11-01,498780.11
2023-11-01,499280.11
2023-11-01,499635.11
2023-11-02,502035.11
2023-11-02,502285.11
2023-11-02,502785.11
2023-11-03,503135.11
2023-11-03,503285.11
2023-11-03,505685.11
2023-11-04,505785.11
2023-11-04,505810.11
2023-11-04,506115.11
2023-11-05,506615.11
2023-11-07,506865.11
2023-11-07,507865.11
2023-11-07,508115.11
2023-11-07,508365.11
2023-11-07,508865.11
2023-11-08,508965.11
2023-11-08,509015.11
2023-11-08,509265.11
2023-11-08,509515.11
2023-11-09,509765.11
2023-11-09,509915.11
2023-11-09,511115.11
2023-11-09,511365.11
2023-11-09,513765.11
2023-11-09,516165.11
2023-11-09,516190.11
2023-11-09,516860.11
2023-11-09,516960.11
2023-11-10,517460.11
2023-11-10,517710.11
2023-11-10,517960.11
2023-11-10,518110.11
2023-11-10,518360.11
2023-11-10,518510.11
2023-11-10,518760.11
2023-11-11,519260.11
2023-11-11,519360.11
2023-11-11,519610.11
2023-11-11,519860.11
2023-11-11,520110.11
2023-11-12,520360.11
2023-11-12,520460.11
2023-11-12,520470.11
2023-11-12,521470.11
2023-11-13,521720.11
2023-11-13,521745.11
2023-11-13,521845.11
2023-11-13,522095.11
2023-11-13,522195.11
2023-11-13,522445.11
2023-11-13,522495.11
2023-11-14,522745.11
2023-11-14,522995.11
2023-11-14,523495.11
2023-11-14,523545.11
2023-11-14,523555.11
2023-11-14,523580.11
2023-11-14,523590.11
2023-11-14,523840.11
2023-11-14,524090.11
2023-11-14,524452.12
2023-11-15,524952.12
2023-11-15,525952.12
2023-11-15,526202.12
2023-11-15,526352.12
2023-11-15,527352.12
2023-11-16,527852.12
2023-11-16,528102.12
2023-11-16,528352.12
2023-11-16,528852.12
2023-11-16,528877.12
2023-11-17,531277.12
2023-11-17,531377.12
2023-11-17,531677.12
2023-11-17,531777.12
2023-11-17,532277.12
